Brands,Models,Transmission,Colour,Mileage,Year,Prices,
29,210,1,3,39664,2,16777,0.345446268
32,205,1,81,50371,1,65950,0.327577657
0,2,1,2,54636,3,23850,0.911904641
31,184,1,123,43455,2,31950,0.30696592
31,180,0,109,43391,1,23500,0.219744087
4,64,0,123,14,1,15400,0.918399805
0,2,0,2,151280,4,16950,0.961616968
29,49,1,109,133000,8,12950,0.456845863
20,144,0,8,98167,4,16950,0.845224084
31,46,0,51,186006,6,8000,0.114679913
31,184,0,18,119088,6,12995,0.168200108
9,190,0,123,95501,2,23995,0.979639331
17,117,0,101,7500,0,27995,0.823720797
0,143,1,32,4,-1,209990,0.747424287
1,199,0,8,106375,4,19995,0.923448156
15,43,1,101,42296,6,16945,0.959209023
21,95,0,51,98588,4,12500,0.490056207
30,122,0,8,62442,3,15995,0.413777029
18,191,1,109,105329,7,21995,0.315307317
29,210,1,118,11601,0,21495,0.121320952
0,2,1,3,163666,4,16950,0.019033809
0,1,0,26,5,-1,38570,0.669082192
7,161,0,51,35405,3,24450,0.786497239
7,71,0,8,116003,3,13950,0.151664675
31,98,0,93,92000,3,16945,0.73309396
29,57,1,101,50900,1,22950,0.726045216
0,0,0,17,5,-1,29100,0.52105416
7,80,1,8,111100,3,22950,0.192221828
26,126,0,18,131499,5,12995,0.916699034
31,98,0,109,134000,4,13000,0.910675119
0,1,0,1,5,-1,38570,0.342795472
29,27,0,12,198330,4,10850,0.955586254
26,104,0,123,83684,3,31995,0.285455178
15,151,1,112,78770,2,49945,0.974726699
1,8,1,8,75188,3,29950,0.974941278
31,136,0,8,167179,7,11495,0.873204276
31,98,0,51,47918,3,16950,0.497766074
21,58,0,51,55880,2,12000,0.227544014
26,178,0,53,157068,3,17450,0.398170351
31,138,0,109,123714,7,9000,0.752997124
24,50,0,123,8566,1,17450,0.337772995
0,1,0,13,5,-1,35995,0.068607839
24,101,0,51,39839,1,23450,0.47827723
12,52,0,8,30166,4,22995,0.618623337
29,21,1,98,125000,5,10750,0.170772728
