# ,Brands,Models,Transmission,Colour,Mileage,Year,Seats,Doors,Prices
0,0,5,0,1,166965,4,5,4,15950
1,0,6,0,0,130353,2,5,4,24500
2,1,0,0,7,225302,7,5,5,8950
3,1,2,0,4,109432,6,4,2,17995
4,1,4,1,2,141618,2,5,4,26869
# 5,1,4,0,0,226911,8,$,4,8950
6,2,7,0,7,120698,3,5,5,12999
7,3,11,0,0,85293,1,5,5,18999
8,3,11,0,7,141618,3,5,5,13750
9,3,11,0,0,122307,3,5,5,13750
10,3,11,0,6,159321,5,5,5,10500
# 11,3,11,0,2,241395,13,$,3,5000
12,3,15,0,2,111042,2,5,5,21999
13,3,17,0,0,101386,2,5,5,18250
14,3,17,0,0,86902,2,5,5,18999
15,3,25,0,7,175414,7,3,5,6750
# 16,4,20,0,5,56326,6,$,5,6000
17,6,9,0,5,114260,5,5,5,19495
18,7,8,1,4,241395,12,4,4,5500
19,5,13,0,0,131963,3,4,3,14500
20,8,16,1,4,41842,3,5,5,14500
21,8,21,0,2,38623,2,5,5,18500
22,8,21,0,1,127939,4,5,5,14999
23,9,10,0,3,120698,5,5,5,8500
24,9,14,1,5,6786,0,5,5,35995
25,9,14,0,0,172195,4,5,5,10999
#26,9,14,0,6,233000,9,$,4,3500
27,10,1,0,6,91000,3,5,5,11500
#28,10,3,0,2,257488,15,$,5,3500
29,11,23,0,8,148056,13,5,5,350
30,12,18,0,4,130353,2,5,5,17500
31,12,18,0,0,123916,2,5,5,17500
32,12,18,0,0,112651,2,5,5,17250
33,12,18,0,4,148056,3,5,5,16500
34,12,18,0,2,111042,3,5,5,16500
35,12,18,0,2,168977,4,5,5,12999
36,13,27,0,6,154493,12,5,5,4999
37,14,10,0,3,120698,5,5,5,8500
38,14,14,0,0,172195,4,5,5,10999
39,15,12,0,2,148056,4,5,5,13999
#40,15,12,0,0,95813,5,$,5,14950
41,15,12,0,6,300000,10,5,5,6750
42,15,19,0,4,61153,2,5,4,22999
43,15,19,0,6,70809,2,5,4,21999
44,15,19,1,6,144837,2,5,5,19999
45,15,19,0,2,151274,3,5,5,16900
46,15,24,0,2,289674,9,5,5,9250
47,16,22,0,0,159321,3,5,4,16500
48,16,26,1,4,82074,2,5,5,19999
49,16,26,0,0,185070,3,5,5,15500
