,Brands,Models,Transmission,Colour,Mileage,Year,Prices
0,14,100,1,9,127999,4,37950
1,14,100,1,91,59290,3,47500
2,14,100,1,13,13999,1,63950
3,14,99,0,41,262316,9,9950
4,14,98,1,13,240999,8,12950
5,14,98,0,32,135181,4,20950
6,14,98,0,10,87118,4,22500
7,14,98,1,85,75000,4,24950
8,14,98,0,42,50942,3,26500
9,14,98,1,42,53372,3,26500
10,14,98,1,42,48084,1,43999
11,14,98,1,42,3299,0,69950
12,14,97,0,101,23999,1,37500
13,14,92,1,26,12874,0,48950
14,14,91,0,91,102144,7,11950
15,14,91,0,91,408999,7,6950
16,14,91,0,15,104605,3,19950
17,14,90,0,42,160930,11,4950
18,14,89,0,13,124000,7,9750
19,14,89,0,10,114000,5,13500
20,14,89,0,42,81999,4,15950
21,14,89,1,83,78856,3,19950
22,14,89,0,42,75000,3,17950
23,14,75,1,91,80000,2,28500
24,13,83,1,88,10,-1,46200
25,13,83,0,92,7,-1,45500
26,13,83,1,91,9,-1,42700
27,13,83,0,101,10,-1,40700
28,13,83,0,31,10,-1,35300
29,13,83,0,12,1,-1,34700
30,13,83,0,91,5001,0,37500
31,13,83,1,80,7,0,45800
32,13,83,0,88,14001,0,34950
33,13,83,0,88,9201,0,34950
34,13,83,0,89,9001,0,34950
35,13,83,0,98,29701,1,33500
36,13,84,1,31,10,-1,60600
37,13,84,1,81,7,-1,57200
38,13,84,0,80,6,-1,52100
39,13,84,0,43,9,-1,50900
40,13,84,1,80,6,-1,46800
41,13,84,0,31,5,-1,44300
42,13,84,1,81,10,0,49300
43,13,84,0,46,9,0,43400
44,13,86,1,31,10,-1,78300
45,13,86,1,101,94120,4,28950
46,13,87,1,42,10,-1,44100
47,13,87,1,44,17702,2,25950
48,14,18,0,11,166563,9,4350
49,14,73,0,91,209209,14,700
50,14,74,1,101,67999,4,17500
51,14,74,0,100,167367,7,8950
52,14,74,0,91,178000,8,8950
53,13,64,0,50,86902,5,13950
54,13,65,1,87,13,-1,23900
55,13,65,1,53,12,-1,23200
56,13,65,0,10,7,-1,20400
57,13,65,0,42,13,-1,19500
58,13,65,0,54,13,-1,18400
59,13,65,0,87,13,-1,18400
60,13,65,0,85,13,-1,17950
61,13,65,0,10,10501,0,19950
62,13,65,0,89,4000,0,17900
63,13,65,0,91,8805,1,15950
64,13,65,0,91,155500,9,7500
65,13,78,0,60,131963,6,14950
66,13,78,0,91,308631,13,1500
67,13,79,0,13,23003,1,39950
68,13,81,0,87,13,-1,31000
69,13,81,0,54,10,-1,30200
70,13,81,0,88,13,-1,26800
71,13,81,0,53,13,-1,26500
72,13,82,1,47,8,-1,36300
73,13,82,0,47,8,-1,35100
74,13,82,0,84,11,-1,33100
75,13,82,0,43,2,-1,31200
76,13,82,0,47,10,-1,31100
77,13,82,0,42,8,-1,29100
78,13,82,0,47,8,-1,27000
79,13,82,1,4,8,0,40700
80,13,82,0,3,9,0,31100
81,13,82,0,101,44256,2,22450
82,13,83,1,80,12,-1,52500
83,13,83,0,101,12,-1,48700
84,13,63,1,89,13,-1,46700
85,13,63,0,81,14,-1,45600
86,13,63,0,56,11,-1,44200
87,13,63,0,51,12,-1,43400
88,13,63,0,81,13,-1,34800
89,13,63,0,82,7,0,42100
90,13,63,0,80,4001,0,38000
91,13,63,0,81,10,0,37900
92,13,63,0,80,11,0,35900
93,13,63,0,81,13,0,34700
94,13,63,1,69,99777,2,20950
95,13,63,0,50,157711,3,15950
96,13,63,1,60,83684,3,19950
97,13,63,0,10,191501,3,17950
98,13,63,0,63,104605,4,16950
99,13,63,0,66,149665,4,14500
100,13,63,0,40,152884,4,13950
101,13,63,0,10,161402,5,14950
102,13,63,0,66,119088,5,13950
103,13,63,0,91,193116,6,8500
104,13,63,0,45,155780,9,7950
105,13,63,0,42,386232,13,1250
106,13,38,0,10,2,-1,32400
107,13,38,0,52,10,-1,32200
