#,Brands,Models,Transmission,Colour,Mileage,Year,Prices
0,0,34,1,4,119870,3,23995
1,1,6,0,4,57881,5,13950
2,1,7,0,8,178632,5,12950
3,1,7,0,43,67895,5,15950
4,1,8,0,24,59810,2,24950
5,1,8,0,16,75476,3,22950
6,1,8,0,36,117318,3,23950
7,1,8,1,47,77818,3,22950
8,1,8,0,4,91273,3,22500
9,1,8,0,24,59810,2,24950
10,1,8,0,16,75476,3,22950
11,1,8,0,36,117318,3,23950
12,1,8,1,47,77818,3,22950
13,1,8,0,4,91273,3,22500
14,1,8,0,24,125437,4,20500
15,1,8,0,51,95687,4,20500
16,1,8,0,21,82879,4,18950
17,1,9,1,6,144837,8,13500
18,1,10,1,45,35003,2,34950
19,1,10,0,24,93574,3,27900
20,1,10,0,24,103517,3,26500
21,1,10,1,47,183460,4,19950
22,1,10,1,47,93899,4,22950
23,1,52,0,24,56326,3,26950
24,1,53,1,24,31455,1,48950
25,2,0,0,24,38514,3,20500
26,2,0,0,51,66817,3,18950
27,2,0,0,18,111846,3,15950
28,2,0,0,47,148178,12,5950
29,2,1,1,51,29172,1,25900
30,2,2,1,41,19151,0,46900
31,2,2,1,47,246223,12,4950
32,2,3,1,4,57479,2,29950
33,2,3,1,24,129359,5,22900
34,2,4,1,6,16267,1,42950
35,2,4,1,4,38268,2,34500
36,2,4,1,24,72999,2,27950
37,2,4,1,4,69182,3,29500
38,2,4,1,32,90121,3,26950
39,2,4,1,4,105721,3,25020
40,2,4,1,4,59747,4,25500
41,2,4,1,4,100750,5,22299
42,2,4,0,4,122307,8,14950
43,2,68,1,13,41842,2,27950
44,2,68,0,6,69200,3,23950
45,2,68,0,25,104605,4,22895
46,2,69,1,6,65128,2,30950
47,3,15,0,4,1600,0,17500
48,3,16,0,24,999,1,17500
49,3,16,0,24,20000,1,15950
50,3,17,0,42,64400,3,13900
51,3,17,0,47,120998,7,7750
52,3,18,1,24,1899,0,32950
53,3,25,0,45,3999,0,19950
54,3,36,0,3,51498,3,18950
55,3,36,0,6,57999,4,15950
#56,3,37,0,6,$,0,27950
57,4,28,0,47,102221,4,9900
58,4,45,0,50,96879,3,10900
59,4,57,0,51,6463,1,10690
60,4,57,0,4,82406,3,11900
61,4,57,0,50,59322,3,8900
62,4,57,0,20,33792,3,11900
63,4,57,0,51,153380,5,6900
64,5,12,0,45,137413,10,2895
65,5,12,0,24,112651,12,3299
66,5,26,0,51,10,0,12950
67,5,27,0,51,10,-1,43000
68,5,27,0,51,10,-1,43000
69,5,27,0,51,10,-1,37650
70,5,27,0,51,10,-1,37500
#71,5,27,0,51,$,-1,28850
72,6,14,0,6,43,1,27950
73,6,14,0,45,10308,1,22950
74,6,14,0,4,82670,2,16950
75,6,14,0,47,69200,3,17950
76,6,14,0,4,143228,9,6950
77,6,30,0,51,19,0,24950
78,6,30,0,19,29772,2,16950
79,6,30,0,24,29296,3,17950
80,6,30,0,51,37349,3,16500
81,6,30,0,51,49888,3,14950
82,6,30,0,4,112228,6,11500
83,6,31,0,24,16,0,22500
84,6,31,0,45,14,0,22446
85,6,31,0,24,19,0,21500
86,6,31,0,4,19,0,21500
87,6,31,1,24,11563,2,17500
88,6,31,0,4,56223,2,13950
89,6,31,0,24,26299,2,14950
90,6,31,0,45,69622,2,12950
91,6,31,0,45,75111,3,13950
92,6,31,0,45,70999,3,13950
93,6,31,0,45,47009,3,13950
94,6,31,0,6,66303,4,12950
95,6,31,0,4,66654,5,11495
96,6,31,0,4,114260,7,8950
97,6,31,0,45,241395,10,4950
98,6,31,0,45,185070,14,1899
99,6,32,0,51,6399,0,28250
100,6,32,0,24,24,0,28250
101,6,32,0,24,16,0,26950
102,6,32,0,51,10,0,28550
103,6,32,0,51,58,0,25950
104,6,32,0,35,6970,1,44500
105,6,32,0,6,6049,1,35500
106,6,32,0,6,12680,1,23500
107,6,32,0,45,40500,1,20950
108,6,32,0,51,83336,2,18950
109,6,32,0,6,42000,2,18500
110,6,32,0,24,54179,2,17950
111,6,32,0,24,22000,2,17500
112,6,32,0,51,40413,2,21500
113,6,32,0,6,6049,1,35500
114,6,32,0,6,12680,1,23500
115,6,32,0,45,40500,1,20950
116,6,32,0,51,83336,2,18950
117,6,32,0,6,42000,2,18500
118,6,32,0,24,54179,2,17950
119,6,32,0,24,22000,2,17500
120,6,32,0,51,40413,2,21500
121,6,32,0,24,68469,2,18950
122,6,32,0,51,54378,2,18950
123,6,32,0,47,34560,2,18500
124,6,32,0,4,44747,2,17950
125,6,32,0,6,25564,2,17950
126,6,32,0,24,37287,2,15950
127,6,32,0,4,67006,3,16950
128,6,32,0,24,64121,3,16950
129,6,32,0,6,51562,3,16950
130,6,32,0,4,56808,3,16499
131,6,32,0,51,57117,3,15950
132,6,32,1,24,91251,3,17950
133,6,32,0,6,85892,3,16950
134,6,32,0,6,70774,3,16950
135,6,32,0,51,67808,3,16950
136,6,32,1,47,60827,3,16950
137,6,32,0,4,58374,3,16950
138,6,32,0,24,56168,3,16950
139,6,32,0,4,53268,3,16950
140,6,32,1,45,31106,3,16950
141,6,32,0,6,37521,3,16490
142,6,32,0,24,87625,3,15950
143,6,32,0,6,75539,3,15950
144,6,32,0,24,60758,3,15950
145,6,32,0,4,51704,3,15950
146,6,32,0,6,49019,3,15950
147,6,32,0,24,44795,3,15950
148,6,32,0,51,35266,3,15950
149,6,32,0,51,76965,4,16500
150,6,32,0,24,98769,4,13950
151,6,32,0,6,151274,12,3495
152,6,32,0,4,257488,14,1999
153,6,33,1,47,12736,1,39950
154,6,33,0,24,61636,2,31500
155,6,33,1,4,109579,5,18500
#156,6,33,0,24,$,14,1699
157,6,35,0,24,19,1,31950
#158,6,35,0,24,$,2,17995
159,6,44,1,24,2900,0,39950
160,6,44,0,0,119,0,33500
161,6,44,1,45,11,0,37500
162,6,44,0,4,16285,1,33500
