,Brands,Models,Transmission,Colour,Mileage,Year,Prices
1,Audi,A3,0,Manhattan Grey,5,-1,35995
2,Citroen,Berlingo,0,Black,9000,0,12393
3,Volkswagen,Passat,1,Black,46557,2,29500
4,Audi,A6,1,Brilliant Black,5,-1,60147
5,Dacia,Sandero,0,Brown,12551,1,12950
6,Hyundai,Tucson,0,White,38350,1,28950
7,Lexus,CT200H,1,Assured Black,51345,2,26945
#8,Volkswagen,T-Cross,0,Pure White,$,0,26945
9,Audi,A6,1,Brilliant Black,5,-1,56099
10,Audi,A4,0,Black,61636,3,24950
11,Opel,Astra,0,Black,47900,2,13950
12,Nissan,Qashqai,0,Blue,24120,1,23495
13,Volkswagen,Passat,0,Red,229496,8,7500
14,Ford,Focus,0,Grey,107823,4,12995
15,Hyundai,Tucson,0,Blue,79937,4,18950
16,Volkswagen,Tiguan,0,Brown,73439,4,23000
17,Audi,Q3,1,Ibis White,4,-1,45839
18,Kia,Sorento,0,Grey,109999,4,26995
19,Nissan,Qashqai,0,Black,86902,4,15995
20,Volkswagen,Polo,0,Orange,22531,2,16445
21,Renault,Kadjar,0,Blue,25336,1,23450
22,Audi,Q3,1,Navarra Blue,10,-1,52700
23,Mercedes-Benz,CLA-Class,1,White,10,-1,50982
24,Toyota,C-HR,1,Silver,29389,3,23495
25,Volkswagen,Passat,0,Brown,141272,7,10000
26,Volkswagen,Tiguan,0,Green,193805,9,10500
27,Volkswagen,Golf,0,Red,298742,13,2450
28,Volkswagen,Golf,0,White,133572,4,15750
29,Hyundai,i40,0,White,73000,2,22995
30,Volkswagen,Tiguan,0,Blue,266000,10,6950
31,Toyota,Auris,0,Blue,120400,5,12950
32,Ford,Fiesta,0,Blue,77246,17,600
33,Mercedes-Benz,GLC-Class,1,Black,59681,2,39900
34,Volkswagen,Passat,0,Black,117823,5,13500
35,Peugeot,3008,0,Grey,101286,3,21995
36,BMW,7 Series,1,Black,240339,8,15950
37,Honda,Civic,0,Red,193222,4,99999
38,Audi,A3,0,Tango Red,5,-1,37400
39,Vauxhall,Mokka,0,Velvet Red,60000,3,16500
40,Volkswagen,Passat,0,Black,34739,3,23500
41,Audi,A6,1,Brilliant Black,5,-1,61135
42,Mercedes-Benz,E-Class,1,Black,6962,0,57950
43,Mazda,Mazda6,1,Blue,118284,4,16495
44,Volkswagen,Passat,0,Blue,241719,6,11500
45,Nissan,Qashqai,0,Black,90000,5,15495
46,SEAT,Tarraco,0,Grey,16528,1,31995
47,Hyundai,i30,0,White,74609,3,13900
48,Toyota,Avensis,0,White,84989,3,16495
49,Toyota,RAV4,1,Tokyo Red Pearl Metallic,11800,0,37975
50,Kia,Sportage,0,Black,41969,2,24995
51,Volkswagen,Jetta,0,Blue,46000,2,22000
52,Audi,A3,0,Brilliant Black,5,-1,36648
53,Ford,Galaxy,1,Black,111100,3,22950
54,Toyota,YARIS,0,Silver,73099,4,11750
55,Renault,Megane,0,Blue,18396,1,18950
56,Volkswagen,Passat,0,Silver,100192,3,19500
57,Audi,A4,0,White,48247,3,24850
#58,Hyundai,ix20,1,White,$,2,17995
59,SEAT,Leon,1,Black,142021,4,11950
60,Lexus,CT200H,1,Grey,173804,9,11950
61,Mercedes-Benz,E-Class,1,Black,104102,2,32900
#62,Volvo,V60,1,Blue,$,-1,61714
#63,Volvo,S60,1,Grey,$,-1,52831
64,Ford,Kuga,0,Silver,35700,1,25950
65,Volkswagen,Golf,1,Red,55086,4,17500
66,Toyota,RAV4,0,Ash Grey Metallic,102900,5,17395
67,Toyota,Auris,0,Black,170000,10,5950
68,Ford,S-Max,0,Silver,52302,1,31750
69,Renault,Captur,0,Blue,28950,1,17450
70,Ford,Focus,0,Yellow,142837,3,20950
71,BMW,4 Series,0,White/black Leather,97800,4,22950
72,Ford,Focus,0,Silver,58500,3,13950
73,Mercedes-Benz,CLS-Class,1,Grey,35501,2,36945
#74,Volvo,XC60,1,White,$,-1,53362
75,Audi,A3,0,Red,63122,3,19995
76,Mercedes-Benz,C-Class,1,Grey,22001,0,38995
77,Kia,Ceed,0,White,181608,7,7950
78,Ford,Fiesta,0,Silver,106214,3,12750
79,Hyundai,i10,0,White,39000,1,13495
80,Audi,A6,1,Blue,63488,2,32995
81,Mazda,CX-3,0,Black,10621,0,26995
82,Volkswagen,Golf,0,Black,53769,2,21945
83,Audi,A4,0,Black,113280,3,18950
84,Peugeot,2008,0,Black,73608,3,15995
85,Opel,Grandland X,0,Blue,41275,1,23500
86,Ford,Focus,0,Silver,148800,7,9950
87,Nissan,Qashqai,1,Grey,40869,2,22995
88,Opel,Astra,0,Silver,80114,5,11995
89,Land Rover,Discovery Sport,0,Black,13500,0,49995
90,Audi,A4,1,Blue,174448,3,18950
91,Ford,Focus,0,Black,116003,3,13950
92,Nissan,Qashqai,0,Black,46617,3,16995
93,Audi,e-tron,1,Brilliant Black,2,-1,87115
94,Ford,Focus,0,Grey,307376,12,2450
95,Volkswagen,Jetta,0,Black,170615,5,10450
96,Jaguar,XF,1,Grey,55500,2,35950
97,Volkswagen,Caddy,0,Silver,125000,5,10000
98,Nissan,Juke,0,White,5,-1,21550
99,Mercedes-Benz,E-Class,1,Selenite Grey Metallic,4218,0,56895
100,Mercedes-Benz,C-Class,1,Red,105892,3,24945
101,Skoda,Citigo,0,Grey,32000,3,11500
102,Mercedes-Benz,C-Class,1,Silver,88512,5,20495
103,Audi,Q5,1,Blue,39790,1,48945
104,Toyota,YARIS,1,Night Sky Black Bitone,41,0,21395
105,Volvo,XC60,1,Black,58290,2,41995
106,Mercedes-Benz,C-Class,1,Silver,8248,0,39995
107,Volkswagen,Passat,0,Silver,42202,3,23000
108,Volkswagen,Golf,0,Grey,298607,7,8500
109,Lexus,RX450H,1,Sonic Titanium,58000,2,52945
110,Audi,A5,1,Mythos Black Metallic,10,-1,60900
111,Opel,ADAM,0,White,59704,3,9500
112,Volkswagen,Passat,0,White,138400,4,16500
113,Nissan,Qashqai,0,Blue,86902,3,18495
114,Toyota,Auris,0,Blue,48509,2,18995
115,Volkswagen,Passat CC,0,Black,167179,7,11495
116,Mercedes-Benz,E-Class,1,Brown,72152,4,26900
117,Volkswagen,Tiguan,0,Grey,98176,4,18500
118,Volkswagen,Golf,1,Black,128200,4,16450
119,Audi,A7,1,Mythos Black,5,-1,87900
120,Mazda,Mazda3,0,Red,7500,0,27995
121,Volkswagen,Golf,0,Silver,83684,2,19495
#122,Volvo,XC60,1,Grey,$,-1,73475
123,Audi,A5,1,Ibis White,5,-1,53144
124,Volkswagen,Golf,0,Grey,20,0,33500
125,Mercedes-Benz,A-Class,0,Black,30,-1,37800
126,Audi,Q8,1,Daytona Grey,4,-1,209990
127,Renault,Kadjar,0,Blue,22518,1,24450
128,Mercedes-Benz,C-Class,1,Black,34000,1,38745
129,Kia,Sportage,0,Silver,196920,8,11000
130,Skoda,Octavia,0,Grey,146446,5,12950
131,Volkswagen,Jetta,0,Grey,102801,6,12500
132,Volkswagen,Caddy,0,White,126092,2,13503
133,Renault,Koleos,1,Brown,16249,0,36900
134,Ford,Mondeo,0,Grey,80465,3,18995
135,Volkswagen,Tiguan,0,Grey,130122,3,22950
136,Volkswagen,Golf,0,Piano Black,85685,5,13895
137,Audi,A6,1,Black,78975,4,23945
138,Opel,Corsa,0,Carbon Flash,51419,4,11000
139,Skoda,Fabia,0,Grey,26002,1,13950
140,Nissan,Qashqai,0,Grey,53000,2,21495
141,Toyota,Corolla,1,Pearl White Bitone Roof,5,0,28200
#142,Nissan,Qashqai,0,Black,$,5,16995
143,Volkswagen,Caddy Life,1,Grey,24691,2,23500
#144,Volkswagen,Polo,0,Red,$,0,17945
145,Toyota,Corolla,1,Denim Blue Metallic,5445,0,24375
146,Toyota,Corolla,0,Grey,185010,9,6500
147,Mercedes-Benz,GLC-Class,1,Blue,119499,2,36995
148,Opel,Insignia,1,Satin Steel Grey,5282,0,34500
149,Ford,Focus,0,White,94949,3,16495
#150,Hyundai,Tucson,0,Grey,$,2,41000
151,Volkswagen,Passat,0,Brown,238176,7,7425
152,Audi,Q3,1,Glacier White,5,-1,47801
153,Mazda,Mazda3,0,Grey,88907,7,8950
154,Volkswagen,Jetta,0,Silver,99987,5,13500
155,Volkswagen,Passat,0,Black,46000,1,31945
156,Toyota,Prius,1,Emotional Red Pearl Finish,62124,2,23499
157,Opel,Astra,0,Black,219509,4,8950
158,Lexus,CT200H,1,Black,186518,5,12950
159,Toyota,Corolla,1,Red,50900,1,22950
160,Mercedes-Benz,C-Class,1,Blue,2775,0,43995
161,Honda,CR-V,0,Black,51976,3,20950
162,Volvo,S60,0,Blue,65745,3,23995
163,Volkswagen,Tiguan,0,Grey,132269,3,22950
164,Volkswagen,Sharan,0,Indium Grey,88000,3,26945
165,Skoda,Superb,0,Grey,33045,2,22995
166,Volkswagen,Touran,0,Grey,44556,2,27500
167,Volkswagen,T-Roc,0,Red,15,0,32500
168,Toyota,Prius,1,White,140999,6,11950
169,Dacia,Duster,0,Grey,11941,1,19495
170,Mercedes-Benz,C-Class,1,Grey,33486,1,33900
171,Toyota,Corolla,1,Oxide Bronze,3899,0,24495
172,Audi,A4,0,Black/black Leather,182656,2,20950
173,Nissan,Qashqai,0,Grey,43000,1,23495
174,Dacia,Duster,0,White,14,1,15400
175,Audi,Q7,1,Night Black,10,-1,106505
176,Volkswagen,Passat,1,Silver,98006,3,18950
#177,Volkswagen,T-Cross,0,Blue,$,0,26500
178,Honda,Civic,0,Grey,86902,9,7950
179,Volkswagen,Polo,0,Grey,59435,7,10500
#180,Volkswagen,Tiguan,0,Grey,$,0,34945
181,Renault,Zoe,1,Blue,28665,1,20950
182,Audi,A6,1,Grey/black Leather,169942,3,24950
183,Volkswagen,T-Roc,0,Blue,18,0,31000
184,Ford,Focus,0,Blue,67666,3,14950
185,Volkswagen,Tiguan,0,Red,21147,3,27500
186,Toyota,Auris,0,White,190500,4,11750
187,Renault,Megane,0,Grey,81391,3,14950
188,Kia,Rio,0,Red,63307,6,9995
189,Kia,Sportage,0,Black,146000,4,16850
190,Audi,RS6,1,Nardo Grey,2,-1,193000
191,Audi,A5,1,Navarra Blue Metallic,10,-1,59500
192,Audi,A3,0,Grey,93607,3,18500
193,Hyundai,i30,0,Black,68810,2,17750
194,Mercedes-Benz,C-Class,1,Cavansite Blue,32290,2,34950
195,Toyota,Camry,1,White,103661,7,15450
196,Renault,Megane,0,Blue,19904,1,18950
197,Volkswagen,Jetta,1,Black,133931,6,10450
198,Mercedes-Benz,C-Class,0,Black,163408,4,17995
199,Audi,A4,0,White,114260,3,21995
200,Renault,Megane,0,Red,89000,3,15950
201,Mercedes-Benz,GLC-Class,1,Silver,69058,2,41995
202,Toyota,Corolla,0,Ultra Silver,62811,3,16495
203,Mercedes-Benz,E-Class,1,Cavansite Blue Metallic,12,-1,61830
204,Volkswagen,Tiguan,0,Blue,76970,2,27450
205,Volkswagen,Golf,0,Red,165758,5,11950
206,Volvo,XC60,0,White/black Leather,171479,4,19950
207,Renault,Megane,1,Blue,83455,3,15950
208,Hyundai,i20,0,Black,153000,8,4950
209,Renault,Kadjar,0,Grey,39839,1,23450
210,Hyundai,Tucson,1,Grey,12002,0,36995
211,Honda,CR-V,0,Silver,120698,3,20750
212,BMW,5 Series,1,Grey,9599,1,43995
213,Skoda,Octavia,0,Black,109432,3,15950
214,Opel,Astra,0,Red,59608,3,14500
215,Volkswagen,Tiguan,0,Black,31500,0,42000
216,Suzuki,SX4,0,Silver,195701,10,3950
217,Mercedes-Benz,S-Class,1,Magnetite Black Metallic,108860,4,37845
218,Renault,Megane,0,Silver,70548,11,3250
219,Kia,Ceed,0,White,159131,4,10200
220,Volkswagen,Jetta,0,Blue,359286,7,8000
221,Ford,Mondeo,0,Grey,138103,6,10450
222,Renault,Kadjar,0,Green,33428,1,23450
223,Ford,S-Max,0,Black,262316,9,7450
224,Volkswagen,Passat,0,Silver,107628,5,13500
225,Volkswagen,Jetta,0,Blue,276800,12,3000
226,Audi,A7,1,White/black Leather,71775,3,34950
227,Audi,A4,0,Red,28002,3,23950
228,Ford,Focus,0,Grey,104605,3,13900
229,Volkswagen,Passat,0,Black,117432,3,20500
230,Mercedes-Benz,CLA-Class,0,Black,52235,2,26900
231,Volkswagen,Arteon,1,Silver,14126,1,39945
232,Mercedes-Benz,E-Class,1,Grey,53320,2,34900
233,Ford,Mondeo,0,Grey,115015,3,16950
234,Audi,A6,1,Black,44367,4,26000
235,Nissan,Qashqai,0,Silver,141230,5,14995
236,Suzuki,Vitara,0,White,46399,4,15995
237,Mercedes-Benz,E-Class,1,Silver,130940,4,24900
238,Volkswagen,Golf,0,Blue,94046,2,16500
239,BMW,X3,1,Black,87348,4,27995
240,Nissan,Juke,0,Silver,104000,4,13995
241,Nissan,Juke,0,Grey,107823,5,12950
242,Volkswagen,Passat,1,Silver,205186,3,15950
243,Volkswagen,T-Cross,0,White,17017,0,26500
244,Mercedes-Benz,CLS-Class,1,Black,10,-1,83676
245,Skoda,Octavia,0,Grey,151274,5,16495
246,Volkswagen,Caddy Maxi Life,0,Grey,94949,7,16750
247,Renault,Megane,0,Blue,16780,1,18450
248,Kia,Ceed,0,Grey,49826,3,16995
249,Lexus,RX450H,1,Sonic Titanium,5,0,79945
250,Toyota,YARIS,0,Ultra Silver,5200,2,15995
251,Nissan,Qashqai,0,Red,43400,2,20495
