,Brands,Models,Transmission,Colour,Mileage,Year,Prices
0,0,0,0,14,4,-1,36301
1,0,0,0,19,5,-1,34187
2,0,0,1,11,5,-1,32900
3,0,0,0,23,5,-1,29868
4,0,0,0,10,2,-1,29625
5,0,0,0,17,5,-1,29100
6,0,0,0,0,5,-1,28343
7,0,1,1,9,2,-1,43906
8,0,1,0,9,10,-1,43563
9,0,1,0,17,10,-1,42605
10,0,1,0,26,10,-1,42418
11,0,1,1,26,2,-1,40701
12,0,1,0,26,10,-1,42418
13,0,1,1,7,2,-1,39818
14,0,1,0,12,10,-1,38997
15,0,1,0,18,4,-1,38707
16,0,1,0,26,5,-1,38570
17,0,1,0,1,5,-1,38570
18,0,1,0,26,10,-1,37760
19,0,1,0,6,5,-1,37600
20,0,1,0,32,5,-1,37400
21,0,1,0,17,10,-1,36800
22,0,1,0,7,5,-1,36648
23,0,1,0,1,5,-1,35995
24,0,1,0,18,5,-1,35995
25,0,1,0,13,5,-1,35995
26,0,1,1,3,25500,2,23950
27,0,1,0,30,63122,3,19995
28,0,1,0,2,39106,3,19950
29,0,1,0,15,93607,3,18500
30,0,1,0,2,58047,3,17750
31,0,1,0,2,130353,4,19450
32,0,1,0,2,299330,6,11900
33,0,1,0,31,163181,7,11995
34,0,1,0,31,164046,8,8995
35,0,2,1,9,10,-1,54480
36,0,2,1,23,5,-1,54480
37,0,2,1,18,5,-1,48537
38,0,2,1,26,5,-1,48537
39,0,2,1,12,5,-1,48537
40,0,2,1,18,2,-1,47990
41,0,2,1,17,5,-1,47284
42,0,2,1,7,2,-1,46796
43,0,2,0,7,10,-1,42718
44,0,2,0,3,182656,2,20950
45,0,2,1,3,196335,2,19950
46,0,2,0,2,84500,3,22950
47,0,2,0,2,143871,3,19950
48,0,2,1,34,51739,3,25850
49,0,2,0,2,61636,3,24950
50,0,2,0,34,48247,3,24850
51,0,2,1,30,41198,3,24450
52,0,2,0,30,28002,3,23950
53,0,2,1,2,54636,3,23850
54,0,2,0,34,114260,3,21995
55,0,2,0,31,88512,3,21950
56,0,2,0,30,126813,3,21750
57,0,2,1,5,174448,3,18950
58,0,2,0,2,113280,3,18950
59,0,2,0,2,185874,3,17950
60,0,2,0,17,40600,4,24950
61,0,2,0,31,172195,4,18950
62,0,2,0,31,147251,4,17950
63,0,2,0,32,167367,4,16950
64,0,2,1,3,163666,4,16950
65,0,2,0,2,151280,4,16950
66,0,2,0,2,149987,4,16950
67,0,2,0,15,114260,4,18495
68,0,2,0,20,121502,4,17950
69,0,2,1,3,122951,5,15950
70,0,2,0,31,77660,5,16950
71,0,2,0,15,57999,5,16450
72,0,2,0,31,147999,6,14995
73,0,2,0,16,233670,7,12950
74,0,3,1,24,10,-1,60900
75,0,3,1,27,10,-1,59500
76,0,3,1,7,5,-1,53144
77,0,3,1,17,5,-1,53144
78,0,3,1,18,4,-1,52951
79,0,3,1,7,4,-1,51712
80,0,3,0,20,168977,3,24950
81,0,3,1,3,57774,3,29950
82,0,3,0,3,89799,3,27950
83,0,3,0,34,58579,3,27750
84,0,3,0,2,70793,3,26950
85,0,3,0,15,52809,3,24995
86,0,3,0,3,217000,8,11950
87,0,3,0,2,217566,10,7945
88,0,4,1,33,10,-1,76053
89,0,4,1,33,10,-1,69900
90,0,4,1,33,2,-1,65667
91,0,4,1,10,10,-1,63995
92,0,4,1,26,5,-1,62262
93,0,4,1,7,5,-1,61135
94,0,4,1,7,5,-1,60147
95,0,4,1,7,5,-1,57636
96,0,4,1,7,2,-1,56527
97,0,4,1,7,5,-1,56099
98,0,4,1,2,5150,0,50950
99,0,4,1,2,20908,1,43450
100,0,4,1,2,28623,2,36250
101,0,4,1,5,63488,2,32995
102,0,4,1,2,91730,2,31495
103,0,4,1,3,120376,3,24950
104,0,4,1,2,42048,3,29450
105,0,4,1,34,46477,3,28950
106,0,4,1,2,41681,3,28450
107,0,4,1,2,68878,3,27450
108,0,4,1,15,73384,3,26950
109,0,4,1,2,36773,3,26950
110,0,4,1,2,23818,3,25450
111,0,4,1,35,189897,3,24950
112,0,4,1,16,169942,3,24950
113,0,4,1,3,126652,3,24950
114,0,4,1,22,162217,3,23950
115,0,4,1,2,44367,4,26000
116,0,4,0,31,78603,4,23950
117,0,4,1,2,78975,4,23945
118,0,4,0,34,92884,4,23495
119,0,4,1,2,124640,4,21995
120,0,4,1,2,184667,4,18950
121,0,4,1,21,152774,6,17900
122,0,4,1,4,205025,7,14950
123,0,4,0,15,341596,8,8950
124,0,4,0,15,163120,9,10995
125,0,4,0,15,282313,10,6950
126,0,5,1,23,5,-1,87900
127,0,5,1,35,71775,3,34950
128,0,6,1,29,114260,5,29950
129,0,11,1,7,5,-1,96813
130,0,11,1,26,4,-1,88970
131,0,11,1,7,2,-1,87115
132,0,7,0,12,10,-1,37955
133,0,7,0,18,10,-1,37955
134,0,7,0,26,5,-1,37955
135,0,7,0,17,5,-1,36950
136,0,7,0,18,2,-1,35990
137,0,7,0,17,5,-1,34990
138,0,7,0,7,5,-1,34950
139,0,8,1,25,5,-1,99320
140,0,8,1,26,10,-1,52700
141,0,8,1,17,5,-1,52057
142,0,8,1,26,5,-1,51205
143,0,8,1,17,5,-1,50215
144,0,8,1,26,5,-1,47900
145,0,8,1,23,5,-1,47882
146,0,8,1,26,5,-1,47801
147,0,8,1,8,5,-1,47801
148,0,8,1,14,5,-1,47801
149,0,8,1,23,4,-1,47801
150,0,8,1,23,5,-1,47685
151,0,8,1,12,5,-1,47440
152,0,8,1,8,5,-1,47229
153,0,8,1,23,5,-1,46819
154,0,8,1,12,5,-1,46271
155,0,8,1,8,5,-1,45885
156,0,8,1,17,4,-1,45839
157,0,8,0,2,63970,3,26450
158,0,8,0,2,52785,3,25450
159,0,8,0,31,106214,4,20450
160,0,9,1,9,5,-1,66063
161,0,9,1,12,4,-1,65900
162,0,9,1,5,39790,1,48945
163,0,9,1,2,129436,9,15950
164,0,10,1,26,5,-1,110412
165,0,10,1,9,5,-1,108384
166,0,10,1,28,10,-1,106505
167,0,10,1,3,61000,1,79950
168,0,10,1,2,62500,2,57950
169,0,10,1,2,24461,2,56950
