,Brands,Models,Transmission,Colour,Mileage,Year,Prices
0,32,205,1,109,103500,5,37500
1,32,205,1,51,102351,5,38995
2,32,205,1,51,97335,4,38945
3,32,205,1,51,107525,3,44995
4,32,205,1,39,80143,3,45950
5,32,205,1,8,78999,2,52995
6,32,203,0,12,112651,4,22995
7,32,203,0,124,171479,4,19950
8,32,203,0,51,160700,4,18950
9,32,203,0,12,109432,4,21950
10,32,204,0,18,$,2,55995
11,32,205,1,107,17702,0,75950
12,32,205,1,81,50371,1,65950
13,32,205,1,109,79887,2,52995
14,32,202,1,123,15736,1,43995
15,32,203,1,51,$,-1,73475
16,32,203,1,12,$,-1,56591
17,32,203,1,101,$,-1,56591
18,32,203,1,8,$,-1,55464
19,32,203,1,123,$,-1,53362
20,32,203,1,12,$,0,54995
21,32,203,1,8,52122,1,46995
22,32,203,1,12,56647,2,47995
23,32,203,1,8,58290,2,41995
24,32,192,1,8,42109,2,23995
25,32,192,0,8,39000,3,21995
26,32,192,0,109,77411,3,17995
27,32,192,0,8,109432,4,14850
28,32,192,0,101,99500,5,14995
29,32,193,1,12,$,-1,61714
30,32,194,1,123,65000,3,28950
31,32,202,1,123,$,0,49995
32,32,202,0,123,10000,0,36995
33,32,202,1,12,8999,1,43995
34,32,163,1,51,$,-1,52831
35,32,163,0,12,65745,3,23995
36,32,163,0,12,195559,4,12995
37,32,163,0,123,153275,6,11495
38,32,164,1,51,$,-1,56658
39,32,164,1,8,$,-1,55948
40,32,164,1,51,87185,1,31995
41,32,164,1,12,78856,3,25950
42,32,192,1,123,36343,2,23995
43,31,187,0,8,134347,4,17500
44,31,187,0,123,33700,4,21495
45,31,187,0,109,123002,5,16000
46,31,187,0,8,134353,5,14500
47,31,187,0,8,153094,6,13500
48,31,187,0,18,179505,7,11500
49,31,219,0,123,47021,2,10500
50,31,219,0,123,111364,4,7950
51,31,219,0,109,168732,5,8500
52,31,185,0,51,31145,1,36995
53,31,187,0,12,34291,0,38500
54,31,187,0,55,24100,1,31945
55,31,187,0,8,57478,2,27945
56,31,187,0,51,44556,2,27500
57,31,187,0,12,69089,2,25500
58,31,187,1,12,83649,3,28500
59,31,187,0,8,69600,3,24000
60,31,187,0,7,72845,3,22495
61,31,187,0,18,138926,4,21000
62,31,184,0,18,154224,6,12950
63,31,184,0,123,268573,7,11500
64,31,184,0,51,136144,8,12000
65,31,184,0,18,160103,8,11400
66,31,184,0,50,193805,9,10500
67,31,184,0,8,208800,10,8500
68,31,184,0,12,266000,10,6950
69,31,184,0,109,175805,11,8950
70,31,185,0,8,20,0,43500
71,31,184,0,51,101782,4,18000
72,31,184,0,12,85875,4,17500
73,31,184,0,123,138400,4,16995
74,31,184,0,109,180329,4,16450
75,31,184,0,8,129494,5,16995
76,31,184,0,51,113569,5,15950
77,31,184,0,18,108017,5,15950
78,31,184,0,123,159523,5,15500
79,31,184,0,123,147364,5,15000
80,31,184,0,18,119088,6,12995
81,31,184,0,101,117000,3,23000
82,31,184,0,51,132269,3,22950
83,31,184,0,51,130122,3,22950
84,31,184,0,101,54158,4,23500
85,31,184,0,18,73439,4,23000
86,31,184,0,109,94668,4,22500
87,31,184,0,109,160594,4,19950
88,31,184,0,109,105567,4,18500
89,31,184,0,51,98176,4,18500
90,31,184,0,12,51646,3,26500
91,31,184,0,8,60943,3,25950
92,31,184,0,109,82682,3,25000
93,31,184,0,51,85000,3,27500
94,31,184,0,101,21147,3,27500
95,31,184,0,51,95697,3,27000
96,31,184,0,8,93339,3,24995
97,31,184,0,51,73139,3,24500
98,31,184,0,116,85293,3,23900
99,31,184,0,8,133732,3,23000
100,31,184,0,101,117000,3,23000
101,31,184,0,51,132269,3,22950
102,31,184,0,51,130122,3,22950
103,31,184,0,101,54158,4,23500
104,31,184,0,18,73439,4,23000
105,31,184,0,109,94668,4,22500
106,31,184,0,109,160594,4,19950
107,31,184,0,109,105567,4,18500
108,31,184,0,51,98176,4,18500
109,31,184,0,51,101782,4,18000
110,31,184,0,12,85875,4,17500
111,31,184,0,123,138400,4,16995
112,31,184,0,109,180329,4,16450
113,31,184,0,8,129494,5,16995
