,Brands,Models,Transmission,Colour,Mileage,Year,Prices
0,0,100,1,17,119870,3,23995
1,1,18,0,17,57881,5,13950
2,1,20,0,90,59810,2,24950
3,1,20,1,192,77818,3,22950
4,1,20,0,17,91273,3,22500
5,1,20,0,90,59810,2,24950
6,1,20,1,192,77818,3,22950
7,1,20,0,17,91273,3,22500
8,1,20,0,90,125437,4,20500
9,1,20,0,215,95687,4,20500
10,1,21,1,23,144837,8,13500
11,1,22,1,180,35003,2,34950
12,1,22,0,90,93574,3,27900
13,1,22,0,90,103517,3,26500
14,1,22,1,192,93899,4,22950
15,1,175,0,90,56326,3,26950
16,1,176,1,90,31455,1,48950
17,2,0,0,90,38514,3,20500
18,2,0,0,215,66817,3,18950
19,2,0,0,192,148178,12,5950
20,2,2,1,215,29172,1,25900
21,2,5,1,170,19151,0,46900
22,2,5,1,192,246223,12,4950
23,2,8,1,90,129359,5,22900
24,2,10,1,23,16267,1,42950
25,2,10,1,17,38268,2,34500
26,2,10,1,90,72999,2,27950
27,2,10,1,17,69182,3,29500
28,2,10,1,17,105721,3,25020
29,2,10,1,17,59747,4,25500
30,2,10,1,17,100750,5,22299
31,2,10,0,17,122307,8,14950
32,2,242,0,23,69200,3,23950
33,2,243,1,23,65128,2,30950
34,4,46,0,17,1600,0,17500
35,4,47,0,90,999,1,17500
36,4,48,0,192,120998,7,7750
37,4,50,1,90,1899,0,32950
38,4,78,0,180,3999,0,19950
39,4,104,0,16,51498,3,18950
40,4,104,0,23,57999,4,15950
41,4,105,0,23,$,0,27950
42,5,81,0,192,102221,4,9900
43,5,139,0,198,96879,3,10900
44,5,203,0,215,6463,1,10690
45,5,203,0,17,82406,3,11900
46,5,203,0,198,59322,3,8900
47,5,203,0,78,33792,3,11900
48,5,203,0,215,153636,5,6900
49,7,42,0,180,137413,10,2895
50,7,42,0,90,112651,12,3299
51,7,79,0,215,10,0,12950
52,7,80,0,215,10,-1,43000
53,7,80,0,215,10,-1,43000
54,7,80,0,215,10,-1,37650
55,7,218,0,215,10,-1,32000
56,7,80,0,215,$,-1,28850
57,8,45,0,17,82670,2,16950
58,8,45,0,192,69200,3,17950
59,8,45,0,17,143228,9,6950
60,8,85,0,215,37349,3,16500
61,8,85,0,215,49888,3,14950
62,8,85,0,17,112228,6,11500
63,8,88,0,90,16,0,22500
64,8,88,1,90,11563,2,17500
65,8,88,0,17,56223,2,13950
66,8,88,0,180,69622,2,12950
67,8,88,0,180,75111,3,13950
68,8,88,0,23,66303,4,12950
69,8,88,0,17,66654,5,11495
70,8,88,0,17,114260,7,8950
71,8,88,0,180,241395,10,4500
72,8,90,0,90,16,0,26950
73,8,90,0,215,10,0,28550
74,8,90,0,215,58,0,25950
75,8,90,0,148,6970,1,44500
76,8,90,0,23,6049,1,35500
77,8,90,0,23,12680,1,23500
78,8,90,0,180,40500,1,20950
79,8,90,0,215,83336,2,18950
80,8,90,0,23,42000,2,18500
81,8,90,0,90,54179,2,17950
82,8,90,0,90,22000,2,17500
83,8,90,0,215,40413,2,21500
84,8,90,0,23,6049,1,35500
85,8,90,0,23,12680,1,23500
86,8,90,0,180,40500,1,20950
87,8,90,0,215,83336,2,18950
88,8,90,0,23,42000,2,18500
89,8,90,0,90,54179,2,17950
90,8,90,0,90,22000,2,17500
91,8,90,0,215,40413,2,21500
92,8,90,0,90,68469,2,18950
93,8,90,0,192,34560,2,18500
94,8,90,0,17,44747,2,17950
95,8,90,0,90,37287,2,16950
96,8,90,0,17,67006,3,16950
97,8,90,0,23,51562,3,16950
98,8,90,0,17,56808,3,16499
99,8,90,0,23,85892,3,16950
100,8,90,0,23,70774,3,16950
101,8,90,0,215,67808,3,16950
102,8,90,1,192,60827,3,16950
103,8,90,0,17,58374,3,16950
104,8,90,0,90,56168,3,16950
105,8,90,0,17,53268,3,16950
106,8,90,1,180,31106,3,16950
107,8,90,0,23,75539,3,15950
108,8,90,0,17,51704,3,15950
109,8,90,0,23,49019,3,15950
110,8,90,0,90,44795,3,15950
111,8,90,0,215,35266,3,15950
112,8,90,0,215,76965,4,16500
113,8,90,0,23,151274,12,3495
114,8,90,0,17,257488,14,1999
115,8,99,1,192,12736,1,39950
116,8,99,0,90,61636,2,31500
117,8,99,0,90,$,14,1699
118,8,131,1,180,11,0,37500
119,8,131,0,17,16285,1,33500
120,8,131,0,90,14463,1,31950
121,8,131,0,85,16040,1,28950
122,8,131,1,17,72491,3,28950
123,8,131,1,192,78576,3,27500
124,8,131,0,90,60692,3,26500
125,8,131,1,215,32139,3,26500
126,8,131,0,192,50979,3,24950
127,8,131,0,90,81295,3,21500
128,8,131,0,17,65655,3,20950
129,8,131,0,192,32991,3,20950
130,8,131,0,17,39439,3,20500
131,8,131,0,90,61997,3,19500
132,8,131,1,90,104497,4,22500
133,8,151,1,90,23465,1,29950
134,8,151,1,192,19099,1,27500
135,8,151,1,90,47869,2,27950
136,8,151,0,90,114151,3,18500
137,8,151,0,17,79968,3,20500
138,8,151,0,23,84767,4,18950
139,8,151,0,90,90000,4,17950
140,8,151,0,17,127537,4,15950
141,8,173,1,90,$,0,30950
142,8,173,0,90,1500,0,26500
143,8,190,1,90,3800,0,63500
144,8,190,0,17,$,0,41500
145,8,190,1,0,499,0,46500
146,8,190,0,90,55,0,43500
147,8,190,1,90,127223,2,29000
148,8,196,0,90,18637,2,29500
149,8,196,0,17,$,11,4495
150,8,196,0,192,$,14,1995
151,8,227,1,90,50899,2,42500
152,8,229,0,23,$,-1,30500
153,8,229,0,192,5,0,28950
154,8,229,1,90,8,0,25950
155,8,230,0,90,10,0,46950
156,8,230,0,192,5,0,36950
157,8,230,0,215,174,0,34950
158,8,230,0,23,10,0,34950
159,8,230,0,23,10,0,34950
160,9,108,1,121,1,-1,34440
161,9,70,0,145,11,-1,31015
162,9,70,1,108,9,-1,31895
163,9,70,0,34,2500,0,24950
164,9,70,1,178,8320,2,22950
165,9,70,0,34,72000,2,19950
166,9,55,1,55,1000,0,45950
167,9,55,0,17,26875,3,24450
