#Brands,Models,Transmission,Colour,Mileage,Year,Prices
9,48,0,10,70000,2,23950
8,66,0,4,156376,4,19950
6,32,0,51,6399,0,28250
11,29,1,72,499,0,27200
14,92,1,26,12874,0,48950
#9,47,0,64,$,0,27372
1,8,0,4,91273,3,22500
6,31,0,4,66654,5,11495
6,30,0,51,37349,3,16500
6,44,0,24,34351,1,26950
13,38,1,70,14006,1,39950
6,64,0,47,5,0,28950
4,93,0,9,194725,13,999
13,11,1,55,11,-1,54600
12,30,0,10,162718,8,4850
7,38,0,40,21,0,28750
11,101,0,13,26553,3,15950
12,40,1,4,164348,5,19000
7,42,0,49,6000,1,17950
6,32,0,51,57117,3,15950
9,76,0,13,12000,0,22950
13,38,1,42,64526,2,22500
6,31,0,24,16,0,22500
6,32,0,47,34560,2,18500
14,13,1,33,18700,1,39950
1,31,1,23,22500,0,52950
9,33,0,9,70121,4,10950
7,53,0,42,255879,12,3950
11,29,0,42,96558,3,15950
13,22,1,47,11,0,33800
1,16,0,91,88512,7,15950
10,70,0,29,17,0,24250
6,32,0,51,54378,2,18950
14,98,1,13,240999,8,12950
6,104,1,102,30833,3,17950
1,31,1,23,9600,1,48950
3,68,0,42,114206,5,11500
11,15,0,91,114260,5,13950
#9,33,0,85,$,0,17950
9,61,0,101,94000,3,17500
10,72,1,7,58,0,36950
6,55,0,101,9000,1,33000
11,29,0,7,66361,3,17500
11,14,1,6,86273,4,16100
11,5,0,86,1799,1,15500
6,54,0,24,29,0,46950
9,61,0,42,30000,1,18000
6,104,1,95,17889,1,23900
8,66,0,51,63567,2,25950
4,12,0,9,181851,12,3300
10,67,0,45,86349,6,11950
6,33,0,24,61636,2,31500
6,32,0,6,85892,3,16950
12,30,0,85,108628,6,4500
12,39,1,47,70093,6,16700
13,21,0,9,9,-1,19200
7,13,0,10,35998,1,25950
3,45,0,91,124108,7,7995
6,25,1,19,27673,2,19950
6,32,0,6,49019,3,15950
13,65,0,89,4000,0,17900
4,59,0,19,101000,4,14500
9,61,0,91,104605,8,8995
2,4,1,4,105721,3,25020
13,42,1,55,9,-1,40200
6,46,0,28,46414,1,24900
6,56,0,24,18637,2,29500
3,69,0,101,55917,3,20950
6,65,1,24,94411,1,24950
10,60,1,39,11265,3,22950
11,67,0,101,179735,2,9950
6,32,0,6,151274,12,3495
10,70,0,14,12,0,25650
6,44,0,22,126164,7,11950
6,56,0,27,25922,1,17900
14,91,0,91,408999,7,6950
6,32,0,51,10,0,28550
2,51,0,13,159321,13,1995
13,65,1,53,12,-1,23200
9,61,1,42,28000,2,18950
6,32,0,51,76965,4,16500
6,32,0,6,25564,2,17950
1,10,0,24,93574,3,27900
9,33,0,9,60945,6,8900
8,74,0,22,146446,8,6950
7,23,0,34,11,-1,31015
13,87,1,44,17702,2,25950
13,63,0,50,157711,3,15950
9,61,0,101,145000,4,11500
1,6,0,4,57881,5,13950
6,32,0,4,51704,3,15950
11,29,0,1,16272,2,20500
9,61,0,91,104000,4,13950
11,17,1,99,29939,2,23400
6,32,0,6,42000,2,18500
1,8,0,24,59810,2,24950
7,6,0,42,36278,1,32950
3,69,0,85,69200,3,17350
11,94,0,42,50000,2,24950
1,10,0,24,103517,3,26500
6,64,1,24,8,0,25950
#5,27,0,51,$,-1,28850
#9,61,0,42,$,0,22950
3,15,0,4,1600,0,17500
9,61,0,19,137000,8,6950
5,1,0,10,35340,1,25000
6,46,0,27,52178,2,21900
1,8,0,36,117318,3,23950
6,33,1,47,12736,1,39950
6,54,1,24,3800,0,63500
11,29,0,7,103019,6,12000
8,75,0,4,50075,5,12900
11,29,1,75,200,0,28200
7,43,0,42,9,0,19950
#10,60,0,17,$,-1,32870
13,38,0,88,14,-1,30300
13,86,1,31,10,-1,78300
13,86,1,101,94120,4,28950
9,61,0,42,400,0,29950
6,44,0,4,16285,1,33500
6,56,0,49,39315,1,18900
6,48,1,24,47869,2,27950
14,98,0,10,87118,4,22500
11,101,1,42,35887,3,14500
5,27,0,51,10,-1,37500
2,62,1,42,233311,7,8950
7,53,0,42,181851,10,5950
11,9,1,101,126288,7,6950
10,22,0,12,5000,0,24750
6,30,0,4,112228,6,11500
10,49,1,38,5,-1,45500
13,63,1,60,83684,3,19950
2,68,1,13,41842,2,27950
6,88,0,91,49282,1,37900
2,2,1,47,246223,12,4950
9,61,0,101,85089,3,14900
7,43,0,91,75637,4,10950
10,22,0,38,333,0,26950
7,53,0,10,93339,5,13950
14,89,1,83,78856,3,19950
6,32,0,24,68469,2,18950
4,30,0,13,197622,16,1499
#10,54,0,13,$,16,1200
3,69,0,10,42646,3,18950
11,101,1,78,86593,3,14600
#7,53,0,13,$,16,1200
0,40,0,101,75710,4,15950
6,25,0,93,37458,1,19900
1,8,0,16,75476,3,22950
13,83,0,88,9201,0,34950
13,21,0,47,8,-1,21500
11,17,1,99,53220,2,23400
0,40,0,91,61509,3,16500
6,32,0,6,51562,3,16950
7,6,0,101,21000,1,36950
13,83,1,88,10,-1,46200
1,10,1,47,93899,4,22950
6,48,1,47,19099,1,27500
13,65,0,91,155500,9,7500
7,43,0,10,12000,1,14500
11,101,0,99,75088,5,11500
13,82,0,47,10,-1,31100
3,69,0,85,55000,3,18950
13,63,1,69,99777,2,20950
#10,21,0,51,$,3,19950
#9,49,1,10,$,0,48100
9,71,1,25,102995,3,22950
9,33,0,42,91000,4,9500
6,32,0,4,56808,3,16499
6,31,0,24,19,0,21500
6,32,0,4,67006,3,16950
6,56,0,101,25045,1,17900
6,31,0,45,70999,3,13950
9,80,0,60,201163,3,15950
11,29,0,58,28105,2,19400
6,48,0,47,48754,2,22950
11,14,1,96,53331,2,19990
9,61,0,42,94949,3,17950
1,20,0,85,131467,4,19950
11,29,0,80,19147,2,18500
9,61,0,10,62000,3,15959
10,60,0,4,46895,3,20950
6,31,0,45,47009,3,13950
3,36,0,6,57999,4,15950
14,98,1,42,3299,0,69950
10,60,0,38,37250,1,27950
10,70,0,24,5000,0,23500
13,81,0,54,10,-1,30200
1,16,1,68,72500,3,26950
