,Brands,Models,Transmission,Colour,Mileage,Year,Prices
59,Ford,C-Max,0,Black,143228,9,6950
524,Renault,Captur,1,Brown,27673,2,19950
4,Audi,A4,0,Black,91273,3,22500
561,Opel,Mokka,0,Brown,101000,4,14500
222,Kia,Sportage,0,Pearl Black,73500,4,18950
55,Fiat,Talento,0,White,10,-1,32000
438,Skoda,Yeti,0,Beige,150000,5,12500
521,Renault,Captur,0,Flame Red/black Roof,36122,1,20900
549,Nissan,X-Trail,1,White,69844,3,22950
#41,Citroen,Grand C4 Spacetourer,0,Blue,$,0,27950
48,Dacia,Sandero,0,White,153636,5,6900
486,Skoda,Fabia,0,Blue,47000,3,11000
411,Toyota,C-HR,1,Ultra Silver,53220,2,23400
489,Skoda,Fabia,0,Beige,70121,4,10950
201,Kia,Optima,0,White,177406,3,14950
7,Audi,A4,0,Black,91273,3,22500
333,Volkswagen,Golf,0,Black,2,-1,32400
93,Ford,Focus,0,Silver,34560,2,18500
492,Renault,Megane,0,Iron Blue,39315,1,18900
463,Skoda,Octavia,0,White,85089,3,14900
83,Ford,Focus,0,White,40413,2,21500
470,SEAT,Leon,0,Grey,255879,12,3950
445,Skoda,Kodiaq,1,Grey,50000,2,33950
555,Opel,Corsa,0,Blue,100369,8,6999
478,SEAT,Toledo,0,Silver,96719,4,11950
334,Volkswagen,Golf,0,Lime Yellow,10,-1,32200
412,Toyota,C-HR,1,Pure White,65334,3,21400
40,Citroen,Grand C4 Picasso,0,Blue,57999,4,15950
254,Volvo,XC60,1,Red,75000,4,24950
187,Hyundai,Tucson,0,Blue,34922,3,18950
350,Volkswagen,Golf,0,Silver,111042,5,14950
163,Honda,Civic,0,Brilliant Sport Blue,2500,0,24950
454,Skoda,Octavia,0,Grey,10000,0,24950
585,Nissan,Qashqai,0,White,38219,3,20950
339,Volkswagen,Golf,0,Tungsten Silver,3,0,26300
137,Ford,Mondeo,0,Black,79968,3,20500
582,Nissan,Qashqai,1,Blue,28485,2,22350
249,Volvo,XC90,1,Silver,59290,3,47500
#145,Ford,Ranger,1,$,499,0,46500
25,BMW,5 Series,1,Black,38268,2,34500
98,Ford,Focus,0,Black,56808,3,16499
273,Volkswagen,Tiguan,0,Silver,5001,0,37500
375,Volkswagen,Caddy Maxi Life,1,Indium Grey Metallic,11,0,33800
538,Renault,Kadjar,0,Titanium Grey,86014,4,15900
229,Kia,Venga,0,Infra Red,26700,2,12950
472,SEAT,Mii,0,Black,19955,1,13950
51,Fiat,Doblo,0,White,10,0,12950
362,Volkswagen,Arteon,1,Pure White,8,-1,54700
33,BMW,X3,1,Blue,65128,2,30950
347,Volkswagen,Golf,0,White,86500,3,16950
559,Opel,Meriva,0,Grey,74028,5,8450
88,Ford,Focus,0,Blue,42000,2,18500
190,Hyundai,Tucson,0,Grey,74886,4,18950
153,Ford,Transit Connect,0,Silver,5,0,28950
0,Alfa Romeo,Giulia,1,Black,119870,3,23995
77,Ford,Focus,0,Blue,12680,1,23500
352,Volkswagen,Golf,0,Silver,259097,9,4750
84,Ford,Focus,0,Blue,6049,1,35500
404,Toyota,Auris,0,Silver,101296,7,11950
422,Skoda,Octavia,1,Grey,91016,5,13200
419,Skoda,Octavia,0,White,73000,3,13950
529,Renault,Fluence,0,Silver,140254,6,7750
480,Skoda,Citigo,0,Red,57935,2,10950
342,Volkswagen,Golf,0,Dolphin Grey,10,0,31900
265,Volvo,V40,0,Grey,75000,3,17950
578,Nissan,Juke,0,Silver,124108,7,7995
#56,Fiat,Ducato Passenger,0,White,$,-1,28850
43,Dacia,Logan,0,Slate Grey,96879,3,10900
218,Kia,Sportage,0,Silver,49024,3,20950
12,Audi,A6,0,Grey,93574,3,27900
106,Ford,Focus,1,Red,31106,3,16950
247,Mercedes-Benz,C-Class,1,Obsidean Black,18700,1,39950
#481,Skoda,Fabia,0,Red,$,0,17950
288,Volkswagen,Touran,1,Grey,10,-1,44100
