,Brands,Models,Transmission,Colour,Mileage,Year,Prices
0,Alfa Romeo,Giulia,1,Black,119870,3,23995
1,Audi,A1,0,Black,57881,5,13950
2,Audi,A4,0,Grey,59810,2,24950
3,Audi,A4,1,Silver,77818,3,22950
4,Audi,A4,0,Black,91273,3,22500
5,Audi,A4,0,Grey,59810,2,24950
6,Audi,A4,1,Silver,77818,3,22950
7,Audi,A4,0,Black,91273,3,22500
8,Audi,A4,0,Grey,125437,4,20500
9,Audi,A4,0,White,95687,4,20500
10,Audi,A5,1,Blue,144837,8,13500
11,Audi,A6,1,Red,35003,2,34950
12,Audi,A6,0,Grey,93574,3,27900
13,Audi,A6,0,Grey,103517,3,26500
14,Audi,A6,1,Silver,93899,4,22950
15,Audi,Q3,0,Grey,56326,3,26950
16,Audi,Q5,1,Grey,31455,1,48950
17,BMW,1 Series,0,Grey,38514,3,20500
18,BMW,1 Series,0,White,66817,3,18950
19,BMW,1 Series,0,Silver,148178,12,5950
20,BMW,2 Series,1,White,29172,1,25900
21,BMW,3 Series,1,Portimao Blue,19151,0,46900
22,BMW,3 Series,1,Silver,246223,12,4950
23,BMW,4 Series,1,Grey,129359,5,22900
24,BMW,5 Series,1,Blue,16267,1,42950
25,BMW,5 Series,1,Black,38268,2,34500
26,BMW,5 Series,1,Grey,72999,2,27950
27,BMW,5 Series,1,Black,69182,3,29500
28,BMW,5 Series,1,Black,105721,3,25020
29,BMW,5 Series,1,Black,59747,4,25500
30,BMW,5 Series,1,Black,100750,5,22299
31,BMW,5 Series,0,Black,122307,8,14950
32,BMW,X1,0,Blue,69200,3,23950
33,BMW,X3,1,Blue,65128,2,30950
34,Citroen,C3,0,Black,1600,0,17500
35,Citroen,C3 Aircross,0,Grey,999,1,17500
36,Citroen,C4,0,Silver,120998,7,7750
37,Citroen,C5,1,Grey,1899,0,32950
38,Citroen,Dispatch Combi,0,Red,3999,0,19950
39,Citroen,Grand C4 Picasso,0,Beige,51498,3,18950
40,Citroen,Grand C4 Picasso,0,Blue,57999,4,15950
41,Citroen,Grand C4 Spacetourer,0,Blue,$,0,27950
42,Dacia,Duster,0,Silver,102221,4,9900
43,Dacia,Logan,0,Slate Grey,96879,3,10900
44,Dacia,Sandero,0,White,6463,1,10690
45,Dacia,Sandero,0,Black,82406,3,11900
46,Dacia,Sandero,0,Slate Grey,59322,3,8900
47,Dacia,Sandero,0,Flame Red,33792,3,11900
48,Dacia,Sandero,0,White,153636,5,6900
49,Fiat,Bravo,0,Red,137413,10,2895
50,Fiat,Bravo,0,Grey,112651,12,3299
51,Fiat,Doblo,0,White,10,0,12950
52,Fiat,Ducato Passenger,0,White,10,-1,43000
53,Fiat,Ducato Passenger,0,White,10,-1,43000
54,Fiat,Ducato Passenger,0,White,10,-1,37650
55,Fiat,Talento,0,White,10,-1,32000
56,Fiat,Ducato Passenger,0,White,$,-1,28850
57,Ford,C-Max,0,Black,82670,2,16950
58,Ford,C-Max,0,Silver,69200,3,17950
59,Ford,C-Max,0,Black,143228,9,6950
60,Ford,EcoSport,0,White,37349,3,16500
61,Ford,EcoSport,0,White,49888,3,14950
62,Ford,EcoSport,0,Black,112228,6,11500
63,Ford,Fiesta,0,Grey,16,0,22500
64,Ford,Fiesta,1,Grey,11563,2,17500
65,Ford,Fiesta,0,Black,56223,2,13950
66,Ford,Fiesta,0,Red,69622,2,12950
67,Ford,Fiesta,0,Red,75111,3,13950
68,Ford,Fiesta,0,Blue,66303,4,12950
69,Ford,Fiesta,0,Black,66654,5,11495
70,Ford,Fiesta,0,Black,114260,7,8950
71,Ford,Fiesta,0,Red,241395,10,4500
72,Ford,Focus,0,Grey,16,0,26950
73,Ford,Focus,0,White,10,0,28550
74,Ford,Focus,0,White,58,0,25950
75,Ford,Focus,0,Orange,6970,1,44500
76,Ford,Focus,0,Blue,6049,1,35500
77,Ford,Focus,0,Blue,12680,1,23500
78,Ford,Focus,0,Red,40500,1,20950
79,Ford,Focus,0,White,83336,2,18950
80,Ford,Focus,0,Blue,42000,2,18500
81,Ford,Focus,0,Grey,54179,2,17950
82,Ford,Focus,0,Grey,22000,2,17500
83,Ford,Focus,0,White,40413,2,21500
84,Ford,Focus,0,Blue,6049,1,35500
85,Ford,Focus,0,Blue,12680,1,23500
86,Ford,Focus,0,Red,40500,1,20950
87,Ford,Focus,0,White,83336,2,18950
88,Ford,Focus,0,Blue,42000,2,18500
89,Ford,Focus,0,Grey,54179,2,17950
90,Ford,Focus,0,Grey,22000,2,17500
91,Ford,Focus,0,White,40413,2,21500
92,Ford,Focus,0,Grey,68469,2,18950
93,Ford,Focus,0,Silver,34560,2,18500
94,Ford,Focus,0,Black,44747,2,17950
95,Ford,Focus,0,Grey,37287,2,16950
96,Ford,Focus,0,Black,67006,3,16950
97,Ford,Focus,0,Blue,51562,3,16950
98,Ford,Focus,0,Black,56808,3,16499
99,Ford,Focus,0,Blue,85892,3,16950
100,Ford,Focus,0,Blue,70774,3,16950
101,Ford,Focus,0,White,67808,3,16950
102,Ford,Focus,1,Silver,60827,3,16950
103,Ford,Focus,0,Black,58374,3,16950
104,Ford,Focus,0,Grey,56168,3,16950
105,Ford,Focus,0,Black,53268,3,16950
106,Ford,Focus,1,Red,31106,3,16950
107,Ford,Focus,0,Blue,75539,3,15950
108,Ford,Focus,0,Black,51704,3,15950
109,Ford,Focus,0,Blue,49019,3,15950
110,Ford,Focus,0,Grey,44795,3,15950
111,Ford,Focus,0,White,35266,3,15950
112,Ford,Focus,0,White,76965,4,16500
113,Ford,Focus,0,Blue,151274,12,3495
114,Ford,Focus,0,Black,257488,14,1999
115,Ford,Galaxy,1,Silver,12736,1,39950
116,Ford,Galaxy,0,Grey,61636,2,31500
117,Ford,Galaxy,0,Grey,$,14,1699
118,Ford,Kuga,1,Red,11,0,37500
119,Ford,Kuga,0,Black,16285,1,33500
120,Ford,Kuga,0,Grey,14463,1,31950
121,Ford,Kuga,0,Gold,16040,1,28950
122,Ford,Kuga,1,Black,72491,3,28950
123,Ford,Kuga,1,Silver,78576,3,27500
124,Ford,Kuga,0,Grey,60692,3,26500
125,Ford,Kuga,1,White,32139,3,26500
126,Ford,Kuga,0,Silver,50979,3,24950
127,Ford,Kuga,0,Grey,81295,3,21500
128,Ford,Kuga,0,Black,65655,3,20950
129,Ford,Kuga,0,Silver,32991,3,20950
130,Ford,Kuga,0,Black,39439,3,20500
131,Ford,Kuga,0,Grey,61997,3,19500
132,Ford,Kuga,1,Grey,104497,4,22500
133,Ford,Mondeo,1,Grey,23465,1,29950
134,Ford,Mondeo,1,Silver,19099,1,27500
135,Ford,Mondeo,1,Grey,47869,2,27950
136,Ford,Mondeo,0,Grey,114151,3,18500
137,Ford,Mondeo,0,Black,79968,3,20500
138,Ford,Mondeo,0,Blue,84767,4,18950
139,Ford,Mondeo,0,Grey,90000,4,17950
140,Ford,Mondeo,0,Black,127537,4,15950
141,Ford,Puma,1,Grey,$,0,30950
142,Ford,Puma,0,Grey,1500,0,26500
143,Ford,Ranger,1,Grey,3800,0,63500
144,Ford,Ranger,0,Black,$,0,41500
145,Ford,Ranger,1,$,499,0,46500
146,Ford,Ranger,0,Grey,55,0,43500
147,Ford,Ranger,1,Grey,127223,2,29000
148,Ford,S-Max,0,Grey,18637,2,29500
149,Ford,S-Max,0,Black,$,11,4495
150,Ford,S-Max,0,Silver,$,14,1995
151,Ford,Tourneo,1,Grey,50899,2,42500
152,Ford,Transit Connect,0,Blue,$,-1,30500
153,Ford,Transit Connect,0,Silver,5,0,28950
154,Ford,Transit Connect,1,Grey,8,0,25950
155,Ford,Transit Tourneo,0,Grey,10,0,46950
156,Ford,Transit Tourneo,0,Silver,5,0,36950
157,Ford,Transit Tourneo,0,White,174,0,34950
158,Ford,Transit Tourneo,0,Blue,10,0,34950
159,Ford,Transit Tourneo,0,Blue,10,0,34950
160,Honda,HR-V,1,Midnight Blue,1,-1,34440
161,Honda,Civic,0,Obsidean Blue,11,-1,31015
162,Honda,Civic,1,Lunar Silver,9,-1,31895
163,Honda,Civic,0,Brilliant Sport Blue,2500,0,24950
164,Honda,Civic,1,Rallye Red,8320,2,22950
165,Honda,Civic,0,Brilliant Sport Blue,72000,2,19950
166,Honda,CR-V,1,Crystal Black Pearl,1000,0,45950
167,Honda,CR-V,0,Black,26875,3,24450
168,Honda,CR-V,0,Grey,50854,3,20950
169,Honda,HR-V,0,Polished Metal,21,0,28950
170,Honda,Jazz,0,Skyride Blue,6000,1,17950
171,Honda,Jazz,0,Alabaster Silver,37400,2,14950
172,Hyundai,i10,0,White,7599,1,14950
173,Hyundai,i10,0,White,110598,4,8750
174,Hyundai,i20,0,White,93000,5,10950
175,Hyundai,i20,0,Gold,146446,8,6950
176,Hyundai,i30,0,Black,67000,4,13950
177,Hyundai,Ioniq,0,White,50,0,29950
178,Hyundai,Kona,0,Red,32579,1,23950
179,Hyundai,Kona,1,Red,39127,2,23500
180,Hyundai,Kona,0,Red,53569,2,21500
181,Hyundai,Santa Fe,0,White,91571,3,27950
182,Hyundai,Tucson,0,White,45500,0,30950
183,Hyundai,Tucson,0,Grey,45500,1,30950
184,Hyundai,Tucson,0,White,63567,2,25950
185,Hyundai,Tucson,0,White,62317,2,22950
186,Hyundai,Tucson,0,Black,58257,3,18950
187,Hyundai,Tucson,0,Blue,34922,3,18950
188,Hyundai,Tucson,0,Black,156376,4,19950
189,Hyundai,Tucson,0,Grey,106899,4,19950
190,Hyundai,Tucson,0,Grey,74886,4,18950
191,Jaguar,E-PACE,1,White,$,1,46000
192,Kia,Carens,0,White,$,3,19950
193,Kia,Ceed,1,Lunar Silver,$,-1,28450
194,Kia,Ceed,0,Platinum Graphite,333,0,26950
195,Kia,Ceed,0,Cassa White,5000,0,24750
196,Kia,Ceed,0,White,191888,6,8900
197,Kia,e-Soul,1,Blue Flame,58,0,36950
198,Kia,Niro,1,Platinum Graphite,5,-1,45500
199,Kia,Sportage,0,Infra Red,$,-1,31630
200,Kia,Niro,1,Horizon Blue,$,-1,32340
201,Kia,Optima,0,White,177406,3,14950
202,Kia,Ceed,0,Platinum Graphite,1,-1,27930
203,Kia,Rio,0,Grey,139834,8,6900
204,Kia,Sorento,1,$,1,-1,56500
205,Kia,Sorento,1,$,1,-1,51500
206,Kia,Sportage,0,Infra Red,5000,0,31950
207,Kia,Sportage,0,Infra Red,5000,0,30950
208,Kia,Sportage,0,Cassa White,5000,0,29950
209,Kia,Sportage,0,Platinum Graphite,5000,0,29950
210,Kia,Sportage,0,Cassa White,5000,0,29950
211,Kia,Sportage,0,Cassa White,5000,0,29950
212,Kia,Sportage,0,Cassa White,15000,0,31950
213,Kia,Sportage,0,Platinum Graphite,37250,1,27950
214,Kia,Sportage,0,Grey,40999,1,26950
215,Kia,Sportage,0,Red,27004,2,25500
216,Kia,Sportage,0,Aurora Black,56000,3,20950
217,Kia,Sportage,0,Silver,51784,3,20950
218,Kia,Sportage,0,Silver,49024,3,20950
219,Kia,Sportage,0,Black,46895,3,20950
220,Kia,Sportage,0,White,93961,3,20500
221,Kia,Sportage,0,Silver,89305,3,20500
222,Kia,Sportage,0,Pearl Black,73500,4,18950
223,Kia,Sportage,0,Grey,82100,4,17950
224,Kia,Sportage,0,Sirius Silver,113000,4,17950
225,Kia,Sportage,0,Silver,142000,6,13950
226,Kia,Sportage,0,Black,110881,8,12950
227,Kia,Stonic,0,Silky Silver,34680,1,18950
228,Kia,Stonic,0,Black,24999,1,18950
229,Kia,Venga,0,Infra Red,26700,2,12950
230,Kia,Venga,0,Red,86349,6,11950
231,Kia,Rio,0,Black,11,-1,18950
232,Kia,XCeed,1,Platinum Graphite,1000,0,28950
233,Kia,XCeed,0,Grey,5000,0,23500
234,Kia,XCeed,0,Lunar Silver,19,0,25650
235,Kia,XCeed,0,Cosmo Blue,12,0,25650
236,Kia,XCeed,0,Infra Red,2000,0,24250
237,Kia,XCeed,0,Lunar Silver,17,0,24250
238,Kia,XCeed,0,Cosmo Blue,13,0,24250
239,Lexus,IS 300,1,Silver,70093,6,16700
240,Lexus,IS300H,1,Black,164348,5,19990
241,Mazda,CX-5,1,Grey,20876,1,33950
242,Mazda,Mazda3,0,Brown,140143,4,11950
